country,continent,gni_per_capita_recent,fem_life_expec_recent,male_life_expec_recent,overall_life_expec_recent,total_population_recent,female_population_recent,male_population_recent
Afghanistan,Asia,550,65.656,62.701,64.13,37172386,18079105,19093281
Albania,Europe,4860,80.148,76.601,78.333,2866376,1406333,1460043
Angola,Africa,3370,63.252,57.677,60.379,30809762,15568315,15241447
Antigua and Barbuda,Americas,15890,77.871,75.571,76.752,96286,49865,46421
Arab World,Asia,6367.236882,73.49336625,69.92125012,71.62252633,419790588,202298463,217492125
Argentina,Americas,12390,79.726,72.924,76.372,44494502,22797803,21696699
Armenia,Asia,4230,78.165,71.115,74.797,2951776,1563160,1388616
Australia,Oceania,53230,84.7,80.4,82.49756098,24992369,12546075,12446294
Austria,Europe,49310,84.1,79.3,81.64146341,8847037,4496898,4350139
Azerbaijan,Asia,4050,75.215,70.128,72.693,9942334,4982675,4959659
"Bahamas, The",Americas,30520,75.718,71.3,73.554,385640,198316,187324
Bahrain,Asia,21890,78.143,76.188,77.032,1569439,570464,998975
Bangladesh,Asia,1750,73.978,70.409,72.052,161356039,79689386,81666653
Barbados,Americas,15410,80.307,77.562,78.981,286641,148116,138525
Belarus,Europe,5670,79.2,69.3,74.12926829,9485386,5070513,4414873
Belgium,Europe,45910,84,79,81.43902439,11422068,5778803,5643265
Belize,Americas,4470,77.453,71.533,74.365,383071,192273,190798
Benin,Africa,870,62.687,59.633,61.174,11485048,5753803,5731245
Bhutan,Asia,2970,71.444,70.822,71.129,754394,354585,399809
Bolivia,Americas,3370,73.878,68.173,70.945,11353142,5651980,5701162
Bosnia and Herzegovina,Europe,5740,79.581,74.622,77.128,3323929,1695554,1628375
Botswana,Africa,7750,71.559,65.79,68.812,2254126,1166077,1088049
Brazil,Americas,9140,79.156,71.804,75.456,209469333,106473088,102996245
Brunei Darussalam,Asia,29660,76.819,74.454,75.585,428962,206057,222905
Bulgaria,Europe,8860,78.5,71.3,74.81219512,7024216,3611437,3412779
Burkina Faso,Africa,670,61.43,59.981,60.768,19751535,9894627,9856908
Burundi,Africa,280,62.675,59.092,60.898,11175378,5634848,5540530
Cabo Verde,Africa,3420,75.812,69.089,72.57,543767,270899,272868
Cambodia,Asia,1390,71.318,67.062,69.289,16249798,8319569,7930229
Cameroon,Africa,1440,59.795,57.235,58.511,25216237,12608998,12607239
Canada,Americas,44940,84.308,80.288,82.24897561,37058856,18674525,18384331
Caribbean small states,Americas,9240.085673,75.77467453,71.33998156,73.51749249,7358965,3645323,3589576
Central African Republic,Africa,490,54.354,50.152,52.24,4666377,2353556,2312821
Central Europe and the Baltics,Europe,14563.87608,80.88292915,73.37770838,77.03396591,102511922,52896369,49615553
Chad,Africa,670,55.132,52.315,53.712,15477751,7752016,7725735
Chile,Americas,14670,82.333,77.333,79.909,18729160,9500747,9228413
China,Asia,9460,78.828,74.315,76.47,1392730000,677972245,714757755
Colombia,Americas,6180,79.694,74.124,76.925,49648685,25283976,24364709
Comoros,Africa,1380,65.675,62.21,63.912,832322,412488,419834
"Congo, Dem. Rep.",Africa,490,61.539,58.528,60.026,84068091,42116216,41951875
"Congo, Rep.",Africa,1640,65.316,62.546,63.954,5244363,2625622,2618741
Costa Rica,Americas,11520,82.557,77.354,79.914,4999441,2500213,2499228
Cote d'Ivoire,Africa,1600,58.32,55.864,57.017,25069229,12414061,12655168
Croatia,Europe,14000,80.9,74.9,77.82682927,4089400,2120461,1968939
Cyprus,Asia,28570,82.794,78.547,80.672,1189265,594288,594977
Czech Republic,Europe,20240,82.6,76.5,79.47560976,10625695,5398766,5226929
Denmark,Europe,60140,82.9,79.2,81.00487805,5797446,2914620,2882826
Djibouti,Africa,3190,68.023,64,65.893,958920,454210,504710
Dominica,Americas,7090,80.5,74.4,77.4,71625,35669.25,35955.75
Dominican Republic,Americas,7760,76.99,70.609,73.689,10627165,5314411,5312754
Ecuador,Americas,6110,79.442,73.833,76.584,17084357,8537160,8547197
"Egypt, Arab Rep.",Africa,2800,73.967,69.453,71.656,98423595,48690125,49733470
El Salvador,Americas,3820,77.417,68.006,72.872,6420744,3410314,3010430
Equatorial Guinea,Africa,6840,59.259,57.059,58.061,1308974,581916,727058
Estonia,Europe,21140,82.2,73.3,77.64146341,1320884,698199,622685
Eswatini,Africa,3930,62.753,54.329,58.319,1136191,581150,555041
Ethiopia,Africa,790,67.784,63.997,65.872,109224559,54589220,54635339
Fiji,Oceania,5860,69.043,65.594,67.252,883483,435562,447921
Finland,Europe,48280,84.4,78.6,81.42926829,5518050,2798797,2719253
France,Europe,41080,85.7,79.5,82.52439024,66987244,34554861,32432383
Gabon,Africa,6830,67.883,63.879,65.839,2119275,1039899,1079376
"Gambia, The",Africa,710,62.84,60.088,61.44,2280102,1149220,1130882
Georgia,Asia,4440,77.816,68.98,73.414,3731000,1950986,1780014
Germany,Europe,47090,83.5,78.6,80.9902439,82927922,42011590,40916332
Ghana,Africa,2130,64.503,62.437,63.463,29767108,14682873,15084235
Greece,Europe,19770,84,78.9,81.38780488,10727668,5462121,5265547
Grenada,Americas,9650,74.949,70.07,72.388,111454,55289,56165
Guatemala,Americas,4400,76.721,70.83,73.81,17247807,8754875,8492932
Guinea,Africa,850,61.153,60.04,60.706,12414318,6433237,5981081
Guinea-Bissau,Africa,750,59.62,55.597,57.673,1874309,959062,915247
Guyana,Americas,4770,72.847,66.605,69.624,779004,388007,390997
Haiti,Americas,800,65.454,61.139,63.29,11123176,5634134,5489042
Honduras,Americas,2350,77.201,72.573,74.898,9587522,4798491,4789031
"Hong Kong SAR, China",Asia,50300,87.6,81.9,84.6804878,7451000,4018506,3432494
Hungary,Europe,14780,79.7,72.6,76.06341463,9768785,5122011,4646774
Iceland,Europe,67960,84.1,80.4,82.20487805,353574,176121,177453
India,Asia,2020,70.425,68,69.165,1352617328,649574719,703042609
Indonesia,Asia,3840,73.515,69.156,71.282,267663435,132878520,134784915
Iraq,Asia,5040,72.318,68.277,70.294,38433600,18989535,19444065
Ireland,Europe,61390,83.8,80.2,81.95609756,4853506,2447405,2406101
Israel,Asia,40920,84.6,80.7,82.60243902,8883800,4468385,4415415
Italy,Europe,33730,85.6,81,83.24390244,60431283,31047581,29383702
Jamaica,Americas,4970,75.878,72.708,74.267,2934855,1477401,1457454
Japan,Asia,41310,87.26,81.09,84.0997561,126529100,64731350,61797750
Jordan,Asia,4200,76.052,72.628,74.292,9956011,4917242,5038769
Kazakhstan,Asia,8070,76.92,68.72,72.95,18276499,9414496,8862003
Kenya,Africa,1620,68.244,63.539,65.909,51393010,25858917,25534093
Kiribati,Oceania,3140,71.88,63.74,67.851,115847,58907,56940
"Korea, Rep.",Asia,30600,85.7,79.7,82.62682927,51635256,25774710,25860546
Kosovo,Europe,4220,74.2,69.8,71.94634146,1845300,894970.5,950329.5
Kuwait,Asia,34290,76.364,74.584,75.311,4137309,1636230,2501079
Kyrgyz Republic,Asia,1220,75.4,67.2,71.2,6315800,3191049,3124751
Lao PDR,Asia,2450,69.074,65.508,67.277,7061507,3515879,3545628
