country,continent,1960s,1970s,1980s,1990s,2000s,2010s
Argentina,Americas,1300,2630,2930,7580,7800,12390
Australia,Oceania,2970,9580,15560,21430,44050,53230
Austria,Europe,1850,9620,19300,27080,49000,49310
"Bahamas, The",Americas,2760,5200,12440,24190,29010,30520
Belgium,Europe,2510,11730,18030,25980,46840,45910
Belize,Americas,420,1120,2080,2880,4120,4470
Benin,Africa,120,310,340,380,790,870
Botswana,Africa,140,890,2320,3150,5330,7750
Brazil,Americas,410,1970,2760,4120,8320,9140
Burkina Faso,Africa,90,250,330,260,550,670
Burundi,Africa,50,180,230,140,200,280
Cameroon,Africa,160,630,1070,710,1320,1440
Central African Republic,Africa,110,310,490,280,480,490
Chad,Africa,140,220,270,200,830,670
Chile,Americas,830,1790,2200,5120,9950,14670
China,Asia,110,210,320,860,3680,9460
Colombia,Americas,320,1060,1250,2330,5130,6180
"Congo, Rep.",Africa,220,610,940,490,1880,1640
Costa Rica,Americas,470,1740,1660,3440,6490,11520
Cote d'Ivoire,Africa,280,1130,830,730,1160,1600
Denmark,Europe,3140,13560,23050,33060,60090,60140
Dominican Republic,Americas,280,1030,910,2540,4920,7760
Ecuador,Americas,500,1820,1360,1780,4060,6110
"Egypt, Arab Rep.",Africa,190,420,780,1310,2120,2800
El Salvador,Americas,300,780,860,1810,2820,3820
Fiji,Oceania,350,1660,1790,2360,3860,5860
Finland,Europe,2270,9540,24100,26040,48800,48280
France,Europe,2820,10820,19490,25420,43930,41080
Gabon,Africa,530,3520,4580,3280,7570,6830
"Gambia, The",Africa,110,310,300,640,880,710
Ghana,Africa,220,380,400,390,1190,2130
Greece,Europe,1370,5650,8310,13380,29330,19770
Guatemala,Americas,320,1020,950,1640,2620,4400
Guyana,Americas,350,670,360,860,2720,4770
Honduras,Americas,250,830,1270,930,1630,2350
Iceland,Europe,2490,13180,24210,30400,41850,67960
India,Asia,110,220,390,440,1120,2020
Indonesia,Asia,70,400,530,570,2150,3840
Israel,Asia,1910,5610,10920,18400,27260,40920
Italy,Europe,1850,6740,17300,21990,37870,33730
Jamaica,Americas,650,1300,1690,3110,4320,4970
Japan,Asia,1660,9450,27000,33780,38800,41310
Kenya,Africa,140,390,400,430,900,1620
"Korea, Rep.",Asia,240,1670,5310,10160,21040,30600
Lesotho,Africa,80,400,520,610,1230,1390
Luxembourg,Europe,2560,12940,28700,46470,71220,70870
Madagascar,Africa,170,390,230,240,470,510
Malawi,Africa,60,170,160,180,410,360
Malaysia,Asia,350,1450,2260,3380,7600,10590
Mali,Africa,60,220,290,290,670,840
Mauritania,Africa,180,430,510,580,1120,1160
Mexico,Americas,640,1890,2370,5510,8820,9180
Morocco,Africa,240,780,1110,1410,2880,3090
Nepal,Asia,70,130,210,220,480,970
Netherlands,Europe,2550,12760,19540,28670,53670,51260
Nicaragua,Americas,310,500,360,930,1380,2030
Niger,Africa,150,350,320,180,330,390
Nigeria,Africa,120,640,550,460,2040,1960
Norway,Europe,2850,13110,25080,35550,87910,80610
Oman,Asia,280,3070,5660,6380,17740,15140
Pakistan,Asia,160,300,420,450,1010,1590
Panama,Americas,770,1760,2570,3760,6800,14370
Papua New Guinea,Oceania,200,640,800,630,1510,2570
Peru,Americas,480,910,790,2030,3970,6470
Philippines,Asia,240,590,700,1180,2260,3830
Portugal,Europe,790,2870,6320,12260,22920,21990
Puerto Rico,Americas,1560,3390,6050,9590,16580,21100
Rwanda,Africa,50,230,350,260,530,780
Senegal,Africa,310,720,930,670,1340,1410
Sierra Leone,Africa,150,310,210,150,440,490
Singapore,Asia,850,3990,10320,23360,37320,58770
South Africa,Africa,740,1940,2830,3130,5850,5750
Spain,Europe,1110,5010,10700,15480,32460,29340
Sri Lanka,Asia,170,260,440,840,2010,4060
St. Vincent and the Grenadines,Americas,190,710,2030,3310,6320,7340
Sudan,Africa,160,490,720,330,1180,1560
Suriname,Americas,530,2170,2230,1950,6960,5210
Sweden,Europe,4100,14790,26090,31100,52470,55490
Thailand,Asia,190,610,1320,1980,4140,6610
Togo,Africa,140,350,400,310,530,660
Trinidad and Tobago,Americas,810,3940,3630,4890,16200,15950
Tunisia,Africa,260,1130,1290,2260,4070,3500
Turkey,Europe,560,1820,1920,3580,9580,10420
United States,Americas,5070,12200,23770,33670,47730,63080
Uruguay,Americas,670,2150,2730,7260,8810,15650
Zambia,Africa,410,510,400,350,1280,1430
Zimbabwe,Africa,340,730,840,570,420,1790
