country,continent,gni_per_capita,overall_life_expec,total_population
Afghanistan,Asia,550,64.13,37172386
Albania,Europe,4860,78.333,2866376
Angola,Africa,3370,60.379,30809762
Antigua and Barbuda,Americas,15890,76.752,96286
Arab World,Asia,6367.236882,71.62252633,419790588
Argentina,Americas,12390,76.372,44494502
Armenia,Asia,4230,74.797,2951776
Australia,Oceania,53230,82.49756098,24992369
Austria,Europe,49310,81.64146341,8847037
Azerbaijan,Asia,4050,72.693,9942334
"Bahamas, The",Americas,30520,73.554,385640
Bahrain,Asia,21890,77.032,1569439
Bangladesh,Asia,1750,72.052,161356039
Barbados,Americas,15410,78.981,286641
Belarus,Europe,5670,74.12926829,9485386
Belgium,Europe,45910,81.43902439,11422068
Belize,Americas,4470,74.365,383071
Benin,Africa,870,61.174,11485048
Bhutan,Asia,2970,71.129,754394
Bolivia,Americas,3370,70.945,11353142
Bosnia and Herzegovina,Europe,5740,77.128,3323929
Botswana,Africa,7750,68.812,2254126
Brazil,Americas,9140,75.456,209469333
Brunei Darussalam,Asia,29660,75.585,428962
Bulgaria,Europe,8860,74.81219512,7024216
Burkina Faso,Africa,670,60.768,19751535
Burundi,Africa,280,60.898,11175378
Cabo Verde,Africa,3420,72.57,543767
Cambodia,Asia,1390,69.289,16249798
Cameroon,Africa,1440,58.511,25216237
Canada,Americas,44940,82.24897561,37058856
Caribbean small states,Americas,9240.085673,73.51749249,7358965
Central African Republic,Africa,490,52.24,4666377
Central Europe and the Baltics,Europe,14563.87608,77.03396591,102511922
Chad,Africa,670,53.712,15477751
Chile,Americas,14670,79.909,18729160
China,Asia,9460,76.47,1392730000
Colombia,Americas,6180,76.925,49648685
Comoros,Africa,1380,63.912,832322
"Congo, Dem. Rep.",Africa,490,60.026,84068091
"Congo, Rep.",Africa,1640,63.954,5244363
Costa Rica,Americas,11520,79.914,4999441
Cote d'Ivoire,Africa,1600,57.017,25069229
Croatia,Europe,14000,77.82682927,4089400
Cyprus,Asia,28570,80.672,1189265
Czech Republic,Europe,20240,79.47560976,10625695
Denmark,Europe,60140,81.00487805,5797446
Djibouti,Africa,3190,65.893,958920
Dominica,Americas,7090,77.4,71625
Dominican Republic,Americas,7760,73.689,10627165
Ecuador,Americas,6110,76.584,17084357
"Egypt, Arab Rep.",Africa,2800,71.656,98423595
El Salvador,Americas,3820,72.872,6420744
Equatorial Guinea,Africa,6840,58.061,1308974
Estonia,Europe,21140,77.64146341,1320884
Eswatini,Africa,3930,58.319,1136191
Ethiopia,Africa,790,65.872,109224559
Fiji,Oceania,5860,67.252,883483
Finland,Europe,48280,81.42926829,5518050
France,Europe,41080,82.52439024,66987244
Gabon,Africa,6830,65.839,2119275
"Gambia, The",Africa,710,61.44,2280102
Georgia,Asia,4440,73.414,3731000
Germany,Europe,47090,80.9902439,82927922
Ghana,Africa,2130,63.463,29767108
Greece,Europe,19770,81.38780488,10727668
Grenada,Americas,9650,72.388,111454
Guatemala,Americas,4400,73.81,17247807
Guinea,Africa,850,60.706,12414318
Guinea-Bissau,Africa,750,57.673,1874309
Guyana,Americas,4770,69.624,779004
Haiti,Americas,800,63.29,11123176
Honduras,Americas,2350,74.898,9587522
Hungary,Europe,14780,76.06341463,9768785
Iceland,Europe,67960,82.20487805,353574
India,Asia,2020,69.165,1352617328
Indonesia,Asia,3840,71.282,267663435
Iraq,Asia,5040,70.294,38433600
Ireland,Europe,61390,81.95609756,4853506
Israel,Asia,40920,82.60243902,8883800
Italy,Europe,33730,83.24390244,60431283
Jamaica,Americas,4970,74.267,2934855
Japan,Asia,41310,84.0997561,126529100
Jordan,Asia,4200,74.292,9956011
Kazakhstan,Asia,8070,72.95,18276499
Kenya,Africa,1620,65.909,51393010
Kiribati,Oceania,3140,67.851,115847
"Korea, Rep.",Asia,30600,82.62682927,51635256
Kosovo,Europe,4220,71.94634146,1845300
Kuwait,Asia,34290,75.311,4137309
Kyrgyz Republic,Asia,1220,71.2,6315800
Lao PDR,Asia,2450,67.277,7061507
Latvia,Europe,16510,74.6804878,1926542
Lebanon,Asia,7920,78.833,6848925
Lesotho,Africa,1390,52.947,2108132
Liberia,Africa,610,63.295,4818977
Libya,Africa,6400,72.52,6678567
Lithuania,Europe,17430,74.67073171,2789533
Luxembourg,Europe,70870,82.68536585,607728
"Macao SAR, China",Asia,79110,83.989,631636
Madagascar,Africa,510,66.311,26262368
Malawi,Africa,360,63.279,18143315
Malaysia,Asia,10590,75.828,31528585
Maldives,Asia,9280,78.325,515696
Mali,Africa,840,58.452,19077690
Malta,Europe,26480,82.45365854,483530
Marshall Islands,Oceania,4860,73.6,58413
Mauritania,Africa,1160,64.464,4403319
Mauritius,Africa,12050,74.51463415,1265303
Mexico,Americas,9180,74.947,126190788
"Micronesia, Fed. Sts.",Oceania,3400,67.618,112640
Moldova,Europe,2980,71.717,3545883
Mongolia,Asia,3660,69.509,3170208
Montenegro,Europe,8430,76.667,622345
Morocco,Africa,3090,76.218,36029138
Mozambique,Africa,460,59.309,29495962
Myanmar,Asia,1310,66.558,53708395
Namibia,Africa,5220,63.021,2448255
Nauru,Oceania,12060,67.8,12704
Nepal,Asia,970,70.169,28087871
Netherlands,Europe,51260,81.56097561,17231017
New Zealand,Oceania,40640,81.65853659,4885500
Nicaragua,Americas,2030,74.068,6465513
Niger,Africa,390,61.599,22442948
Nigeria,Africa,1960,53.95,195874740
North Macedonia,Europe,5450,75.589,2082958
Norway,Europe,80610,82.5097561,5314336
Oman,Asia,15140,77.393,4829483
Pakistan,Asia,1590,66.947,212215030
Palau,Oceania,17280,73.6,17907
Panama,Americas,14370,78.149,4176873
Papua New Guinea,Oceania,2570,64.01,8606316
Paraguay,Americas,5670,73.992,6956071
Peru,Americas,6470,76.286,31989256
Philippines,Asia,3830,70.952,106651922
Poland,Europe,14100,77.85121951,37978548
Portugal,Europe,21990,81.12439024,10281762
Puerto Rico,Americas,21100,79.63453659,3195153
Qatar,Asia,61150,79.981,2781677
Romania,Europe,11290,75.3097561,19473936
Russian Federation,Europe,10230,72.11902439,144478050
Rwanda,Africa,780,68.341,12301939
Samoa,Oceania,4020,73.046,196130
Sao Tome and Principe,Africa,1890,69.933,211028
Saudi Arabia,Asia,21600,74.874,33699947
Senegal,Africa,1410,67.38,15854360
Serbia,Europe,6390,76.08780488,6982084
Seychelles,Africa,15600,74.3,96762
Sierra Leone,Africa,490,53.895,7650154
Singapore,Asia,58770,82.89512195,5638676
Slovak Republic,Europe,18260,77.16585366,5447011
Slovenia,Europe,24580,81.17560976,2067372
Solomon Islands,Oceania,2020,72.645,652858
South Africa,Africa,5750,63.538,57779622
Spain,Europe,29340,83.32926829,46723749
Sri Lanka,Asia,4060,76.648,21670000
St. Kitts and Nevis,Americas,18340,76.2,52441
St. Lucia,Americas,9560,75.907,181889
St. Vincent and the Grenadines,Americas,7340,72.3,110210
Sudan,Africa,1560,64.881,41801533
Suriname,Americas,5210,71.463,575991
Sweden,Europe,55490,82.30731707,10183175
Switzerland,Europe,84410,83.60243902,8516543
Tajikistan,Asia,1010,70.647,9100837
Tanzania,Africa,1020,64.479,56318348
Thailand,Asia,6610,76.683,69428524
Timor-Leste,Asia,1820,69.007,1267972
Togo,Africa,660,60.489,7889094
